Spokane-Spokane Valley-Coeur dAlene,WA-ID CSA,698170,31923,11894,4805,14729
Springfield-Branson,MO CSA,541991,21398,8883,2278,9883
Springfield-Greenfield Town,MA CSA,702583,9506,5205,20122,-14967
Springfield-Jacksonville-Lincoln,IL CSA,314212,-1969,1855,1626,-5274
State College-DuBois,PA CSA,241574,5949,805,5536,-351
Steamboat Springs-Craig,CO CSA,37067,-234,1084,140,-1462
Syracuse-Auburn,NY CSA,738746,-3863,8617,10297,-21982
Tallahassee-Bainbridge,FL-GA CSA,405098,8486,7955,4272,-3994
Toledo-Port Clinton,OH CSA,646833,-4602,8732,3331,-16832
Tucson-Nogales,AZ CSA,1056486,28803,18279,12327,-2612
Tulsa-Muskogee-Bartlesville,OK CSA,1151172,44694,23585,7851,12693
Tyler-Jacksonville,TX CSA,274478,13921,7116,1826,4774
Victoria-Port Lavaca,TX CSA,121808,6424,3327,621,2457
Virginia Beach-Norfolk,VA-NC CSA,1828187,48949,50442,30676,-32501
Visalia-Porterville-Hanford,CA CSA,610828,15664,34845,3865,-22774
Washington-Baltimore-Arlington,DC-MD-VA-WV-PA CSA,9625360,573135,315741,279685,-19241
Wausau-Stevens Point-Wisconsin Rapids,WI CSA,307691,117,3664,933,-4575
Wichita-Arkansas City-Winfield,KS CSA,680398,13168,20307,6903,-14201
Williamsport-Lock Haven,PA CSA,155489,140,342,463,-551
Youngstown-Warren,OH-PA CSA,654691,-18954,-7144,1802,-12665
